选区编号?,选区名称（中文）?,地区?,国家/构成国
589,格拉摩根谷,威尔士,威尔士
590,沃克斯霍尔,伦敦,英格兰
591,韦克菲尔德,约克郡-亨伯,英格兰
592,沃拉西,西北英格兰,英格兰
593,沃尔索尔北,西米德兰兹,英格兰
594,沃尔索尔南,西米德兰兹,英格兰
595,沃尔瑟姆斯托,伦敦,英格兰
596,旺斯贝克,东北英格兰,英格兰
597,旺蒂奇,东南英格兰,英格兰
598,沃利,西米德兰兹,英格兰
599,沃灵顿北,西北英格兰,英格兰
600,沃灵顿南,西北英格兰,英格兰
601,沃里克与利明顿,西米德兰兹,英格兰
602,北沃里克郡,西米德兰兹,英格兰
603,华盛顿与桑德兰西,东北英格兰,英格兰
604,沃特福德,东英格兰,英格兰
605,韦弗尼,东英格兰,英格兰
606,威尔登,东南英格兰,英格兰
607,韦弗谷,西北英格兰,英格兰
608,韦灵伯勒,东米德兰兹,英格兰
609,韦尔斯,西南英格兰,英格兰
610,韦林哈特菲尔德,东英格兰,英格兰
611,温特沃思与迪恩,约克郡-亨伯,英格兰
612,西布罗姆维奇东,西米德兰兹,英格兰
613,西布罗姆维奇西,西米德兰兹,英格兰
614,西汉姆,伦敦,英格兰
615,威斯敏斯特北,伦敦,英格兰
616,威斯特摩兰与朗斯代尔,西北英格兰,英格兰
617,韦斯顿-超级-马雷,西南英格兰,英格兰
618,威根,西北英格兰,英格兰
619,北威尔特郡,西南英格兰,英格兰
620,西南威尔特郡,西南英格兰,英格兰
621,温布尔登,伦敦,英格兰
622,温彻斯特,东南英格兰,英格兰
623,温莎,东南英格兰,英格兰
624,威勒尔南,西北英格兰,英格兰
625,威勒尔西,西北英格兰,英格兰
626,威瑟姆,东英格兰,英格兰
627,威特尼,东南英格兰,英格兰
628,沃金,东南英格兰,英格兰
629,沃金厄姆,东南英格兰,英格兰
630,伍尔弗汉普顿东北,西米德兰兹,英格兰
631,伍尔弗汉普顿东南,西米德兰兹,英格兰
632,伍尔弗汉普顿西南,西米德兰兹,英格兰
633,伍斯特,西米德兰兹,英格兰
634,中伍斯特郡,西米德兰兹,英格兰
635,西伍斯特郡,西米德兰兹,英格兰
636,沃金顿,西北英格兰,英格兰
637,沃斯利与埃克尔斯南,西北英格兰,英格兰
638,东沃辛与肖勒姆,东南英格兰,英格兰
639,西沃辛,东南英格兰,英格兰
640,雷金,西米德兰兹,英格兰
641,雷克瑟姆,威尔士,威尔士
642,海威科姆,东南英格兰,英格兰
643,怀尔与北普雷斯顿,西北英格兰,英格兰
644,怀尔森林,西米德兰兹,英格兰
645,威森肖与东塞尔,西北英格兰,英格兰
646,约维尔,西南英格兰,英格兰
647,安格尔西,威尔士,威尔士
648,约克中央,约克郡-亨伯,英格兰
649,约克外,约克郡-亨伯,英格兰
650,东约克郡,约克郡-亨伯,英格兰
