完整英文名,名(Forename),姓(Surname),中文名
Nicholas Wood,Nicholas,Wood,尼古拉斯·伍德
Andrew Davis,Andrew,Davis,安德鲁·戴维斯
Olivia Palmer,Olivia,Palmer,奥利维亚·帕尔默
Matt Heenan,Matt,Heenan,马特·希南
Della Reynolds,Della,Reynolds,德拉·雷诺兹
Ben Bradshaw,Ben,Bradshaw,本·布拉德肖
Dom Morris,Dom,Morris,多姆·莫里斯
Keith Crawford,Keith,Crawford,基思·克劳福德
Diana Moore,Diana,Moore,戴安娜·摩尔
Joel Mason,Joel,Mason,乔尔·梅森
Edmund Potts,Edmund,Potts,埃德蒙·波茨
Suella Fernandes,Suella,Fernandes,苏拉·费尔南德斯
Malcolm Jones,Malcolm,Jones,马尔科姆·琼斯
Stuart Rose,Stuart,Rose,斯图尔特·罗斯
Matthew Winnington,Matthew,Winnington,马修·温宁顿
Miles Grindey,Miles,Grindey,迈尔斯·格林迪
Nick Gregory,Nick,Gregory,尼克·格雷戈里
Harvey Hines,Harvey,Hines,哈维·海恩斯
Helen Whately,Helen,Whately,海伦·惠特利
Peter Edwards-Daem,Peter,Edwards-Daem,彼得·爱德华兹-达姆
Michael Desmond,Michael,Desmond,迈克尔·德斯蒙德
David Naghi,David,Naghi,戴维·纳吉
Tim Valentine,Tim,Valentine,蒂姆·瓦伦丁
Hairy  Davidson,Hairy,Davidson,哈里·戴维森
Gary Butler,Gary,Butler,加里·巴特勒
Seema Malhotra,Seema,Malhotra,西玛·马尔霍特拉
Simon Nayyar,Simon,Nayyar,西蒙·纳亚尔
Peter Dul,Peter,Dul,彼得·杜尔
Roger Crouch,Roger,Crouch,罗杰·克劳奇
Tony Firkins,Tony,Firkins,托尼·菲尔金斯
Jack Lopresti,Jack,Lopresti,杰克·洛普雷斯蒂
Ian Boulton,Ian,Boulton,伊恩·博尔顿
Ben Walker,Ben,Walker,本·沃克
Peter Bruce,Peter,Bruce,彼得·布鲁斯
Diana Warner,Diana,Warner,戴安娜·沃纳
Mike Freer,Mike,Freer,迈克·弗里尔
Sarah Sackman,Sarah,Sackman,莎拉·萨克曼
Richard King,Richard,King,理查德·金
Jonathan Davies,Jonathan,Davies,乔纳森·戴维斯
Adele Ward,Adele,Ward,阿黛尔·沃德
Damian Collins,Damian,Collins,达米安·柯林斯
Harriet Yeo,Harriet,Yeo,哈丽雅特·约
Claire Jeffrey,Claire,Jeffrey,克莱尔·杰弗里
Lynne Beaumont,Lynne,Beaumont,林恩·博蒙特
Martin Whybrow,Martin,Whybrow,马丁·怀布罗
Seth Cruse,Seth,Cruse,塞思·克鲁斯
Rohen Kapur,Rohen,Kapur,罗亨·卡普尔
Andy  Thomas-Emans,Andy,Thomas-Emans,安迪·托马斯-埃曼斯
Mark Harper,Mark,Harper,马克·哈珀
Steve Parry-Hearn,Steve,Parry-Hearn,史蒂夫·帕里-赫恩
Steve Stanbury,Steve,Stanbury,史蒂夫·斯坦伯里
James Greenwood,James,Greenwood,詹姆斯·格林伍德
Chris Coleman,Chris,Coleman,克里斯·科尔曼
Mark Menzies,Mark,Menzies,马克·孟席斯
Jed Sullivan,Jed,Sullivan,杰德·沙利文
Paul White,Paul,White,保罗·怀特
Mike Hill,Mike,Hill,迈克·希尔
Fred van Mierlo,Fred,van Mierlo,弗雷德·范·米耶洛
Bob Dennett,Bob,Dennett,鲍勃·丹尼特
Elizabeth Clarkson,Elizabeth,Clarkson,伊丽莎白·克拉克森
Edward Leigh,Edward,Leigh,爱德华·利
David Prescott,David,Prescott,戴维·普雷斯科特
John Saxon,John,Saxon,约翰·萨克森
Lesley Rollings,Lesley,Rollings,莱斯利·罗林斯
Geoffrey Barnes,Geoffrey,Barnes,杰弗里·巴恩斯
Christopher Darcel,Christopher,Darcel,克里斯托弗·达克尔
Maria Eagle,Maria,Eagle,玛丽亚·伊格尔
Martin Williams,Martin,Williams,马丁·威廉姆斯
Carl Schears,Carl,Schears,卡尔·希尔斯
Anna Martin,Anna,Martin,安娜·马丁
Will Ward,Will,Ward,威尔·沃德
James Mearns,James,Mearns,詹姆斯·米恩斯
John Tennant,John,Tennant,约翰·坦南特
Tom Smith,Tom,Smith,汤姆·史密斯
Frank Hindle,Frank,Hindle,弗兰克·欣德尔
Andy Redfern,Andy,Redfern,安迪·雷德芬
Vernon Coaker,Vernon,Coaker,弗农·科克
Carolyn Abbott,Carolyn,Abbott,卡罗琳·阿博特
Lee Waters,Lee,Waters,李·沃特斯
Robert Swift,Robert,Swift,罗伯特·斯威夫特
Jim Norris,Jim,Norris,吉姆·诺里斯
Rehman Chishti,Rehman,Chishti,雷曼·奇什蒂
Paul Clark,Paul,Clark,保罗·克拉克
Mark Hanson,Mark,Hanson,马克·汉森
Paul Chaplin,Paul,Chaplin,保罗·卓别林
Neil Williams,Neil,Williams,尼尔·威廉姆斯
Jacqui Berry,Jacqui,Berry,杰奎·贝里
Roger  Peacock,Roger,Peacock,罗杰·皮科克
Mike  Walters,Mike,Walters,迈克·沃尔特斯
Richard Graham,Richard,Graham,理查德·格雷厄姆
Sophy Gardner,Sophy,Gardner,索菲·加德纳
Richard Ford,Richard,Ford,理查德·福特
Jeremy  Hilton,Jeremy,Hilton,杰里米·希尔顿
Jonathan Ingleby,Jonathan,Ingleby,乔纳森·英格尔比
George Ridgeon,George,Ridgeon,乔治·里奇恩
Sue Powell,Sue,Powell,苏·鲍威尔
Caroline Dinenage,Caroline,Dinenage,卡罗琳·迪纳基
Christopher Wood,Christopher,Wood,克里斯托弗·伍德
Alan Durrant,Alan,Durrant,艾伦·达兰特
Rob Hylands,Rob,Hylands,罗布·海兰兹
Monica Cassidy,Monica,Cassidy,莫妮卡·卡西迪
Jeffrey Roberts,Jeffrey,Roberts,杰弗里·罗伯茨
Nick Boles,Nick,Boles,尼克·博尔斯
Marietta King,Marietta,King,玛丽埃塔·金
Barrie Fairbairn,Barrie,Fairbairn,巴里·费尔贝恩
Harrish Bisnauthsing,Harrish,Bisnauthsing,哈里什·比斯诺辛
Aidan Campbell,Aidan,Campbell,艾丹·坎贝尔
Ian Selby,Ian,Selby,伊恩·塞尔比
Jan Hansen,Jan,Hansen,扬·汉森
Adam Holloway,Adam,Holloway,亚当·霍洛威
Tan Dhesi,Tan,Dhesi,谭·德西
Sean Marriott,Sean,Marriott,肖恩·马里奥特
Mark Lindop,Mark,Lindop,马克·林多普
Anne-Marie Bunting,Anne-Marie,Bunting,安妮-玛丽·邦廷
Melanie Onn,Melanie,Onn,梅拉妮·昂恩
Marc Jones,Marc,Jones,马克·琼斯
Victoria Ayling,Victoria,Ayling,维多利亚·艾林
Steve Beasant,Steve,Beasant,史蒂夫·比桑特
Vicky Dunn,Vicky,Dunn,维姬·邓恩
Gary Calder,Gary,Calder,加里·考尔德
Val O'Flynn,Val,O'Flynn,瓦尔·奥弗林
Brandon Lewis,Brandon,Lewis,布兰登·刘易斯
Lara Norris,Lara,Norris,拉拉·诺里斯
Alan Grey,Alan,Grey,艾伦·格雷
James Joyce,James,Joyce,詹姆斯·乔伊斯
Harry Webb,Harry,Webb,哈里·韦伯
Sam Townley,Sam,Townley,山姆·汤利
Matthew Pennycook,Matthew,Pennycook,马修·彭尼库克
Matt Hartley,Matt,Hartley,马特·哈特利
Ryan Acty,Ryan,Acty,瑞安·阿克蒂
Abideen Akinoshun,Abideen,Akinoshun,阿比丁·阿基诺顺
Tom Holder,Tom,Holder,汤姆·霍尔德
Lynne Chamberlain,Lynne,Chamberlain,林恩·张伯伦
Anne Milton,Anne,Milton,安妮·米尔顿
Kelly-Marie Blundell,Kelly-Marie,Blundell,凯利-玛丽·布伦德尔
Richard Wilson,Richard,Wilson,理查德·威尔逊
Harry Aldridge,Harry,Aldridge,哈里·奥尔德里奇
John Pletts,John,Pletts,约翰·普莱茨
Susan Parker,Susan,Parker,苏珊·帕克
John Morris,John,Morris,约翰·莫里斯
Gerri Smyth,Gerri,Smyth,格里·史密斯
Diane Abbott,Diane,Abbott,黛安·阿博特
Amy Gray,Amy,Gray,艾米·格雷
Heather Finlay,Heather,Finlay,希瑟·芬利
Simon de Deney,Simon,de Deney,西蒙·德·德尼
Keith Fraser,Keith,Fraser,基思·弗雷泽
Jonathan Homan,Jonathan,Homan,乔纳森·霍曼
Jonathan Silberman,Jonathan,Silberman,乔纳森·西尔伯曼
Margaret Hillier,Margaret,Hillier,玛格丽特·希利尔
John Tinley,John,Tinley,约翰·廷利
Charlotte George,Charlotte,George,夏洛特·乔治
Benjamin Mathis,Benjamin,Mathis,本杰明·马西斯
David Small,David,Small,戴维·斯莫尔
Brian Debus,Brian,Debus,布赖恩·德布斯
Paul Birch,Paul,Birch,保罗·伯奇
Taiwo Adewuyi,Taiwo,Adewuyi,泰沃·阿德武伊
Russell Higgs,Russell,Higgs,罗素·希格斯
William Rogers,William,Rogers,威廉·罗杰斯
Gordon Shrigley,Gordon,Shrigley,戈登·什里格利
James Morris,James,Morris,詹姆斯·莫里斯
Stephanie Peacock,Stephanie,Peacock,斯蒂芬妮·皮科克
Dean Perks,Dean,Perks,迪安·珀克斯
Peter Tyzack,Peter,Tyzack,彼得·泰扎克
John Payne,John,Payne,约翰·佩恩
Holly Lynch,Holly,Lynch,霍莉·林奇
Philip Allott,Philip,Allott,菲利普·阿洛特
Liz Phillips,Liz,Phillips,利兹·菲利普斯
Mohammad Ilyas,Mohammad,Ilyas,穆罕默德·伊利亚斯
Gary Scott,Gary,Scott,加里·斯科特
Asama Javed,Asama,Javed,阿萨马·贾韦德
Trevor Bendrien,Trevor,Bendrien,特雷弗·本德里恩
David Davis,David,Davis,戴维·戴维斯
Edward Hart,Edward,Hart,爱德华·哈特
John Kitchener,John,Kitchener,约翰·基奇纳
Carl Minns,Carl,Minns,卡尔·明斯
Tim Greene,Tim,Greene,蒂姆·格林
Diana Wallis,Diana,Wallis,戴安娜·沃利斯
Derek Twigg,Derek,Twigg,德里克·特威格
Matthew Lloyd,Matthew,Lloyd,马修·劳埃德
Glyn Redican,Glyn,Redican,格林·雷迪肯
Ryan Bate,Ryan,Bate,瑞安·贝特
David Melvin,David,Melvin,戴维·梅尔文
Vic  Turton,Vic,Turton,维克·特顿
Andy Slaughter,Andy,Slaughter,安迪·斯劳特
Charlie Dewhirst,Charlie,Dewhirst,查理·德赫斯特
Millicent  Scott,Millicent,Scott,米莉森特·斯科特
Richard  Akan,Richard,Akan,理查德·阿坎
David Wood,David,Wood,戴维·伍德
Stephen Brennan,Stephen,Brennan,斯蒂芬·布伦南
Tulip Siddiq,Tulip,Siddiq,郁金香·西迪克
Simon Marcus,Simon,Marcus,西蒙·马库斯
Maajid Nawaz,Maajid,Nawaz,马吉德·纳瓦兹
Rebecca Johnson,Rebecca,Johnson,丽贝卡·约翰逊
Magnus Nielsen,Magnus,Nielsen,马格努斯·尼尔森
The Eurovisionary Carroll,The Eurovisionary,Carroll,欧洲电视网的卡罗尔
Robin Ellison,Robin,Ellison,罗宾·埃里森
Edward Garnier,Edward,Garnier,爱德华·加尼尔
Sundip Meghani,Sundip,Meghani,松迪普·梅加尼
Mark Hunt,Mark,Hunt,马克·亨特
Zuffar Haq,Zuffar,Haq,祖法尔·哈克
Darren Woodiwiss,Darren,Woodiwiss,达伦·伍迪维斯
Robert Halfon,Robert,Halfon,罗伯特·哈尔丰
Suzy Stride,Suzy,Stride,苏齐·斯特赖德
Sam Stopplecamp,Sam,Stopplecamp,山姆·斯托普尔坎普
Murray Sackwild,Murray,Sackwild,默里·萨克怀尔德
Geoffrey Seeff,Geoffrey,Seeff,杰弗里·西夫
David Brown,David,Brown,戴维·布朗
Eddy Butler,Eddy,Butler,埃迪·巴特勒
Andrew Jones,Andrew,Jones,安德鲁·琼斯
Helen Flynn,Helen,Flynn,海伦·弗林
David Simister,David,Simister,戴维·西米斯特
Jan Williams,Jan,Williams,扬·威廉姆斯
Shan Oakes,Shan,Oakes,珊·奥克斯
Bob Blackman,Bob,Blackman,鲍勃·布莱克曼
Uma Kumaran,Uma,Kumaran,乌玛·库马兰
Aidan Powlesland,Aidan,Powlesland,艾丹·波尔斯兰
Ross Barlow,Ross,Barlow,罗斯·巴洛
Emma Wallace,Emma,Wallace,埃玛·华莱士
Nana Asante,Nana,Asante,娜娜·阿桑特
Gareth Thomas,Gareth,Thomas,加雷思·托马斯
Hannah David,Hannah,David,汉娜·戴维
Mohammad  Bhatti,Mohammad,Bhatti,穆罕默德·巴蒂
Christopher Noyce,Christopher,Noyce,克里斯托弗·诺伊斯
Rowan Langley,Rowan,Langley,罗文·兰利
Kailash Trivedi,Kailash,Trivedi,凯拉什·特里维迪
Iain Wright,Iain,Wright,伊恩·赖特
Phillip Broughton,Phillip,Broughton,菲利普·布劳顿
Richard Royal,Richard,Royal,理查德·罗亚尔
Stephen Picton,Stephen,Picton,斯蒂芬·皮克顿
Michael Holt,Michael,Holt,迈克尔·霍尔特
Sandra Allison,Sandra,Allison,桑德拉·艾莉森
Hilary Allen,Hilary,Allen,希拉里·艾伦
John Hobbs,John,Hobbs,约翰·霍布斯
Bernard Jenkin,Bernard,Jenkin,伯纳德·詹金
Edward Carlsson Browne,Edward,Carlsson Browne,爱德华·卡尔松·布朗
Mark Hughes,Mark,Hughes,马克·休斯
Dominic Graham,Dominic,Graham,多米尼克·格雷厄姆
Christopher Flossman,Christopher,Flossman,克里斯托弗·弗洛斯曼
Amber Rudd,Amber,Rudd,安珀·拉德
Sarah Owen,Sarah,Owen,莎拉·欧文
Andrew Michael,Andrew,Michael,安德鲁·迈克尔
Jake Bowers,Jake,Bowers,杰克·鲍尔斯
Nick Perry,Nick,Perry,尼克·佩里
Alan Mak,Alan,Mak,艾伦·马克
John Perry,John,Perry,约翰·佩里
Graham Giles,Graham,Giles,格雷厄姆·贾尔斯
Steve Sollitt,Steve,Sollitt,史蒂夫·索利特
Tim Dawes,Tim,Dawes,蒂姆·道斯
John McDonnell,John,McDonnell,约翰·麦克唐纳
Pearl Lewis,Pearl,Lewis,珀尔·刘易斯
Cliff Dixon,Cliff,Dixon,克利夫·迪克森
Satnam Khalsa,Satnam,Khalsa,萨特南·卡尔萨
Alick Munro,Alick,Munro,阿利克·芒罗
William Wragg,William,Wragg,威廉·拉格
Lisa Smart,Lisa,Smart,丽莎·斯马特
Michael Taylor,Michael,Taylor,迈克尔·泰勒
Darran Palmer,Darran,Palmer,达伦·帕尔默
Graham Reid,Graham,Reid,格雷厄姆·里德
Mike Penning,Mike,Penning,迈克·彭宁
Tony Breslin,Tony,Breslin,托尼·布雷斯林
Howard Koch,Howard,Koch,霍华德·科赫
Rabi Martins,Rabi,Martins,拉比·马丁斯
Alan Borgars,Alan,Borgars,艾伦·博加斯
Brian Hall,Brian,Hall,布赖恩·霍尔
Jon Trickett,Jon,Trickett,乔恩·特里克特
Christopher Pearson,Christopher,Pearson,克里斯托弗·皮尔逊
Steve Ashton,Steve,Ashton,史蒂夫·阿什顿
Mary Macqueen,Mary,Macqueen,玛丽·麦昆
Martin Roberts,Martin,Roberts,马丁·罗伯茨
Matthew Offord,Matthew,Offord,马修·奥福德
Andrew Dismore,Andrew,Dismore,安德鲁·迪斯莫尔
Raymond Shamash,Raymond,Shamash,雷蒙德·沙马什
Alasdair Hill,Alasdair,Hill,阿拉斯代尔·希尔
Ben Samuel,Ben,Samuel,本·塞缪尔
John Howell,John,Howell,约翰·豪厄尔
Sam Juthani,Sam,Juthani,山姆·朱萨尼
Sue Cooper,Sue,Cooper,苏·库珀
Chris Jones,Chris,Jones,克里斯·琼斯
Mark Stevenson,Mark,Stevenson,马克·史蒂文森
Jesse Norman,Jesse,Norman,杰西·诺曼
Nigel Ely,Nigel,Ely,奈杰尔·伊利
Anna Coda,Anna,Coda,安娜·科达
Lucy Hurds,Lucy,Hurds,露西·赫兹
Diana Toynbee,Diana,Toynbee,戴安娜·托因比
Michael Prisk,Michael,Prisk,迈克尔·普里斯克
Katherine Chibah,Katherine,Chibah,凯瑟琳·奇巴
Adrian Baker,Adrian,Baker,阿德里安·贝克
Michael Green,Michael,Green,迈克尔·格林
Sophie Christophy,Sophie,Christophy,索菲·克里斯托菲
Oliver Dowden,Oliver,Dowden,奥利弗·道登
Richard Butler,Richard,Butler,理查德·巴特勒
Frank Ward,Frank,Ward,弗兰克·沃德
Sophie Bowler,Sophie,Bowler,索菲·鲍勒
Guy Opperman,Guy,Opperman,盖伊·奥珀曼
Liam Carr,Liam,Carr,利亚姆·卡尔
David Nicholson,David,Nicholson,戴维·尼科尔森
Jeff Reid,Jeff,Reid,杰夫·里德
Lee Williscroft-Ferris,Lee,Williscroft-Ferris,李·威利斯克罗夫特-费里斯
Liz  McInnes,Liz,McInnes,利兹·麦金尼斯
John Bickley,John,Bickley,约翰·比克利
Iain Gartside,Iain,Gartside,伊恩·加特赛德
Anthony Smith,Anthony,Smith,安东尼·史密斯
Abi Jackson,Abi,Jackson,阿比·杰克逊
Andrew Bingham,Andrew,Bingham,安德鲁·宾厄姆
Caitlin Bisknell,Caitlin,Bisknell,凯特琳·比斯克内尔
Ian Guiver,Ian,Guiver,伊恩·吉弗
Stephen Worrall,Stephen,Worrall,斯蒂芬·沃勒尔
Charlotte Farrell,Charlotte,Farrell,夏洛特·法雷尔
Peter Lilley,Peter,Lilley,彼得·利利
Rachel Burgin,Rachel,Burgin,雷切尔·伯金
John Stocker,John,Stocker,约翰·斯托克
Pauline Pearce,Pauline,Pearce,波林·皮尔斯
Richard Wise,Richard,Wise,理查德·怀斯
Keir Starmer,Keir,Starmer,基尔·斯塔默
Will Blair,Will,Blair,威尔·布莱尔
Natalie Bennett,Natalie,Bennett,娜塔莉·贝内特
Jill Fraser,Jill,Fraser,吉尔·弗雷泽
Maxine Spencer,Maxine,Spencer,玛克辛·斯宾塞
Shane O'Donnell,Shane,O'Donnell,肖恩·奥唐奈
Vanessa  Hudson,Vanessa,Hudson,瓦妮莎·赫德森
David  O'Sullivan,David,O'Sullivan,戴维·奥沙利文
Angela Watkinson,Angela,Watkinson,安杰拉·沃特金森
Lawrence Webb,Lawrence,Webb,劳伦斯·韦伯
Paul McGeary,Paul,McGeary,保罗·麦基里
Jonathan Mitchell,Jonathan,Mitchell,乔纳森·米切尔
Melanie Collins,Melanie,Collins,梅拉妮·柯林斯
Paul Borg,Paul,Borg,保罗·博格
Catherine West,Catherine,West,凯瑟琳·韦斯特
Lynne Featherstone,Lynne,Featherstone,林恩·费瑟斯通
Suhail Rahuja,Suhail,Rahuja,苏海尔·拉胡贾
Gordon Peters,Gordon,Peters,戈登·彼得斯
Clive Morrison,Clive,Morrison,克莱夫·莫里森
Helen Spiby-Vann,Helen,Spiby-Vann,海伦·斯皮比-范
Frank Sweeney,Frank,Sweeney,弗兰克·斯威尼
Geoff Moseley,Geoff,Moseley,杰夫·莫斯利
Jeremy Quin,Jeremy,Quin,杰里米·奎因
Roger Arthur,Roger,Arthur,罗杰·阿瑟
Morwen Millson,Morwen,Millson,莫文·米尔森
Martyn Davis,Martyn,Davis,马丁·戴维斯
Darrin Green,Darrin,Green,达林·格林
James Smith,James,Smith,詹姆斯·史密斯
Jim Duggan,Jim,Duggan,吉姆·达根
Jim Rae,Jim,Rae,吉姆·雷
Bridget Phillipson,Bridget,Phillipson,布里奇特·菲利普森
Richard Elvin,Richard,Elvin,理查德·埃尔文
Stewart Hay,Stewart,Hay,斯图尔特·海
Alan Robinson,Alan,Robinson,艾伦·罗宾逊
Jim Murray,Jim,Murray,吉姆·默里
Peter Kyle,Peter,Kyle,彼得·凯尔
Graham Cox,Graham,Cox,格雷厄姆·考克斯
Christopher Hawtree,Christopher,Hawtree,克里斯托弗·霍特里
Kevin Smith,Kevin,Smith,凯文·史密斯
Peter Lambell,Peter,Lambell,彼得·兰贝尔
Jenny Barnard-Langston,Jenny,Barnard-Langston,珍妮·巴纳德-兰斯顿
Dave Hill,Dave,Hill,戴夫·希尔
Dame Dixon,Dame,Dixon,戴姆·迪克森
Barry Sheerman,Barry,Sheerman,巴里·希尔曼
Itrat Ali,Itrat,Ali,伊特拉特·阿里
Rob Butler,Rob,Butler,罗布·巴特勒
Andrew Cooper,Andrew,Cooper,安德鲁·库珀
Zulfiqar Ali,Zulfiqar,Ali,祖尔菲卡尔·阿里
Mike Forster,Mike,Forster,迈克·福斯特
Jonathan Djanogly,Jonathan,Djanogly,乔纳森·詹奥利
Nik Johnson,Nik,Johnson,尼克·约翰逊
Paul Bullen,Paul,Bullen,保罗·布伦
Rod Cantrill,Rod,Cantrill,罗德·坎特里尔
Tom MacLennan,Tom,MacLennan,汤姆·麦克伦南
Graham Jones,Graham,Jones,格雷厄姆·琼斯
Kevin Horkin,Kevin,Horkin,凯文·霍金
Janet Brown,Janet,Brown,珍妮特·布朗
Kerry Gormley,Kerry,Gormley,克里·戈尔姆利
Alison Firth,Alison,Firth,艾莉森·弗思
Wes Streeting,Wes,Streeting,韦斯·斯特里廷
Lee Scott,Lee,Scott,李·斯科特
Philip Hyde,Philip,Hyde,菲利普·海德
Richard Clare,Richard,Clare,理查德·克莱尔
David Reynolds,David,Reynolds,戴维·雷诺兹
Doris Osen,Doris,Osen,多丽丝·奥森
Mike Gapes,Mike,Gapes,迈克·盖普斯
Christopher Chapman,Christopher,Chapman,克里斯托弗·查普曼
Amjad Khan,Amjad,Khan,阿姆贾德·汗
Anne Warrington,Anne,Warrington,安妮·沃林顿
Ashburn Holder,Ashburn,Holder,阿什伯恩·霍尔德
Ben Gummer,Ben,Gummer,本·古默
David Ellesmere,David,Ellesmere,戴维·埃尔斯米尔
Maria Vigneau,Maria,Vigneau,玛丽亚·维尼奥
Barry Broom,Barry,Broom,巴里·布鲁姆
Chika Akinwale,Chika,Akinwale,奇卡·阿基瓦莱
Andrew Turner,Andrew,Turner,安德鲁·特纳
Iain McKie,Iain,McKie,伊恩·麦基
Vix Lowthion,Vix,Lowthion,维克斯·劳锡恩
Stewart Blackmore,Stewart,Blackmore,斯图尔特·布莱克莫尔
David Goodall,David,Goodall,戴维·古多尔
Ian Stephens,Ian,Stephens,伊恩·斯蒂芬斯
Jeremy Corbyn,Jeremy,Corbyn,杰里米·科尔宾
Alex Burghart,Alex,Burghart,亚历克斯·伯卡特
Caroline Russell,Caroline,Russell,卡罗琳·拉塞尔
Julian Gregory,Julian,Gregory,朱利安·格雷戈里
Gregory Clough,Gregory,Clough,格雷戈里·克拉夫
Bill  Martin,Bill,Martin,比尔·马丁
Emily Thornberry,Emily,Thornberry,艾米莉·索恩伯里
Mark Lim,Mark,Lim,马克·林
Terry Stacy,Terry,Stacy,特里·斯泰西
Peter Muswell,Peter,Muswell,彼得·马斯韦尔
Charlie Kiss,Charlie,Kiss,查理·基斯
Jay Kirton,Jay,Kirton,杰伊·柯顿
Stephen Hepburn,Stephen,Hepburn,斯蒂芬·赫伯恩
Steven Harrison,Steven,Harrison,史蒂文·哈里森
Nick Mason,Nick,Mason,尼克·梅森
Dave Herbert,Dave,Herbert,戴夫·赫伯特
Stan Collins,Stan,Collins,斯坦·柯林斯
Norman Hall,Norman,Hall,诺曼·霍尔
Kris Hopkins,Kris,Hopkins,克里斯·霍普金斯
John Grogan,John,Grogan,约翰·格罗根
Paul Latham,Paul,Latham,保罗·莱瑟姆
Ros Brown,Ros,Brown,罗斯·布朗
Gareth Epps,Gareth,Epps,加雷思·埃普斯
Jeremy Wright,Jeremy,Wright,杰里米·赖特
Bally Singh,Bally,Singh,巴利·辛格
Harry Cottam,Harry,Cottam,哈里·科塔姆
Richard  Dickson,Richard,Dickson,理查德·迪克森
Rob Ballantyne,Rob,Ballantyne,罗布·巴兰坦
Nick Green,Nick,Green,尼克·格林
Jon Foster-Smith,Jon,Foster-Smith,乔恩·福斯特-史密斯
Victoria Borwick,Victoria,Borwick,维多利亚·博威克
Mohammed Abouharb,Mohammed,Abouharb,穆罕默德·阿布哈布
Robin McGhee,Robin,McGhee,罗宾·麦吉
Robina Rose,Robina,Rose,罗比娜·罗斯
Jack Bovill,Jack,Bovill,杰克·博维尔
Tony Auguste,Tony,Auguste,托尼·奥古斯特
Andrew Knight,Andrew,Knight,安德鲁·奈特
Toby Abse,Toby,Abse,托比·阿布斯
Roland Courtenay,Roland,Courtenay,罗兰·考特尼
Philip Hollobone,Philip,Hollobone,菲利普·霍洛伯恩
Rhea Keehn,Rhea,Keehn,雷亚·基恩
Jonathan Bullock,Jonathan,Bullock,乔纳森·布洛克
Rob Reeves,Rob,Reeves,罗布·里夫斯
Chris McGlynn,Chris,McGlynn,克里斯·麦格林
Derek Hilling,Derek,Hilling,德里克·希林
Michael Berry,Michael,Berry,迈克尔·贝里
Ed Davey,Ed,Davey,埃德·戴维
Lee Godfrey,Lee,Godfrey,李·戈弗雷
Ben Roberts,Ben,Roberts,本·罗伯茨
Clare Keogh,Clare,Keogh,克莱尔·基奥
Daniel Gill,Daniel,Gill,丹尼尔·吉尔
Laurel Fogarty,Laurel,Fogarty,劳雷尔·福加蒂
Karl Turner,Karl,Turner,卡尔·特纳
Richard Barrett,Richard,Barrett,理查德·巴雷特
Christine Mackay,Christine,Mackay,克里斯汀·麦凯
David Nolan,David,Nolan,戴维·诺兰
Sarah  Walpole,Sarah,Walpole,莎拉·沃尔波尔
Martin Clayton,Martin,Clayton,马丁·克莱顿
Mike Cooper,Mike,Cooper,迈克·库珀
Val Hoodless,Val,Hoodless,瓦尔·胡德利斯
Diana Johnson,Diana,Johnson,戴安娜·约翰逊
Sergi Singh,Sergi,Singh,塞尔吉·辛格
Dehenna Davison,Dehenna,Davison,黛娜·戴维森
Mike Ross,Mike,Ross,迈克·罗斯
Martin Deane,Martin,Deane,马丁·迪恩
Vicky Butler,Vicky,Butler,维姬·巴特勒
Alan Johnson,Alan,Johnson,艾伦·约翰逊
Paul Salvidge,Paul,Salvidge,保罗·萨尔维奇
Jo Barker,Jo,Barker,乔·巴克
Claire  Thomas,Claire,Thomas,克莱尔·托马斯
Angela Needham,Angela,Needham,安杰拉·尼达姆
Paul Spooner,Paul,Spooner,保罗·斯普纳
Chris Skidmore,Chris,Skidmore,克里斯·斯吉德莫尔
Jo McCarron,Jo,McCarron,乔·麦卡伦
Duncan Odgers,Duncan,Odgers,邓肯·奥杰斯
Adam Boyden,Adam,Boyden,亚当·博伊登
Cezara Nanu,Cezara,Nanu,切扎拉·纳努
Julie Lake,Julie,Lake,朱莉·莱克
Richard Worth,Richard,Worth,理查德·沃思
Liam Bryan,Liam,Bryan,利亚姆·布赖恩
George Howarth,George,Howarth,乔治·豪沃思
Louise Bours,Louise,Bours,路易丝·布尔
Alice Bramall,Alice,Bramall,爱丽丝·布拉马尔
Carl Cashman,Carl,Cashman,卡尔·卡什曼
Vikki Gregorich,Vikki,Gregorich,维基·格雷戈里奇
Catherine Smith,Catherine,Smith,凯瑟琳·史密斯
Eric Ollerenshaw,Eric,Ollerenshaw,埃里克·奥勒伦肖
Matthew Atkins,Matthew,Atkins,马修·阿特金斯
Chris Coates,Chris,Coates,克里斯·科茨
Robin Long,Robin,Long,罗宾·朗
Harold Elletson,Harold,Elletson,哈罗德·埃莱森
Hilary Benn,Hilary,Benn,希拉里·本
Nicola Wilson,Nicola,Wilson,尼古拉·威尔逊
Luke Senior,Luke,Senior,卢克·西尼尔
Michael Hayton,Michael,Hayton,迈克尔·海顿
Emma Spriggs,Emma,Spriggs,埃玛·斯普里格斯
Liz Kitching,Liz,Kitching,利兹·基钦
Richard Burgon,Richard,Burgon,理查德·伯根
Ryan Stephenson,Ryan,Stephenson,瑞安·斯蒂芬森
Mark Maniatt,Mark,Maniatt,马克·马尼亚特
Ed Sanderson,Ed,Sanderson,埃德·桑德森
Kate Bisson,Kate,Bisson,凯特·比松
Fabian Hamilton,Fabian,Hamilton,法比安·汉密尔顿
